LoincNumber,LongCommonName,PartNumber,PartTypeName,PartName,PartSequenceOrder,RID,PreferredName,RPID,LongName
17787-3,NM Thyroid gland Study report,LP199995-4,Rad.Anatomic Location.Region Imaged,Neck,A,RID7488,neck,,
17787-3,NM Thyroid gland Study report,LP206648-0,Rad.Anatomic Location.Imaging Focus,Thyroid gland,A,RID7578,thyroid gland,,
17787-3,NM Thyroid gland Study report,LP208891-4,Rad.Modality.Modality type,NM,A,RID10330,nuclear medicine imaging,,
24531-6,US Retroperitoneum,LP207608-3,Rad.Modality.Modality type,US,A,RID10326,Ultrasound,RPID2142,US Retroperitoneum
24531-6,US Retroperitoneum,LP199943-4,Rad.Anatomic Location.Imaging Focus,Retroperitoneum,A,RID431,RETROPERITONEUM,RPID2142,US Retroperitoneum
24531-6,US Retroperitoneum,LP199956-6,Rad.Anatomic Location.Region Imaged,Abdomen,A,RID56,Abdomen,RPID2142,US Retroperitoneum
24532-4,US Abdomen RUQ,LP199956-6,Rad.Anatomic Location.Region Imaged,Abdomen,A,RID56,Abdomen,,
24532-4,US Abdomen RUQ,LP207608-3,Rad.Modality.Modality type,US,A,RID10326,Ultrasound,,
24532-4,US Abdomen RUQ,LP208105-9,Rad.Anatomic Location.Imaging Focus,Right upper quadrant,A,RID29994,Right upper quadrant,,
24533-2,MRA Abdominal vessels W contrast IV,LP207131-6,Rad.Anatomic Location.Imaging Focus,Abdominal vessels,A,RID49921,Set of abdominal vessels,,
24533-2,MRA Abdominal vessels W contrast IV,LP206549-0,Rad.Modality.Modality type,MR,A,RID10312,Magnetic resonance imaging,,
24533-2,MRA Abdominal vessels W contrast IV,LP200068-7,Rad.Modality.Modality subtype,Angio,A,RID10371,ANGIOGRAPHY,,
24533-2,MRA Abdominal vessels W contrast IV,LP199956-6,Rad.Anatomic Location.Region Imaged,Abdomen,A,RID56,Abdomen,,
24533-2,MRA Abdominal vessels W contrast IV,LP200078-6,Rad.Pharmaceutical.Route,IV,A,RID11160,intravenous,,
24533-2,MRA Abdominal vessels W contrast IV,LP200088-5,Rad.Timing,W,A,RID49853,W,,
24533-2,MRA Abdominal vessels W contrast IV,LP200085-1,Rad.Pharmaceutical.Substance Given,Contrast,A,RID11582,Contrast agent,,
24534-0,US.doppler Abdominal vessels,LP199956-6,Rad.Anatomic Location.Region Imaged,Abdomen,A,RID56,Abdomen,RPID2200,US Abdomen Doppler
24534-0,US.doppler Abdominal vessels,LP207609-1,Rad.Modality.Modality subtype,Doppler,A,RID10375,Doppler,RPID2200,US Abdomen Doppler
24534-0,US.doppler Abdominal vessels,LP207608-3,Rad.Modality.Modality type,US,A,RID10326,Ultrasound,RPID2200,US Abdomen Doppler
24534-0,US.doppler Abdominal vessels,LP207131-6,Rad.Anatomic Location.Imaging Focus,Abdominal vessels,A,RID49921,Set of abdominal vessels,RPID2200,US Abdomen Doppler
24535-7,XR Acetabulum,LP230195-2,Rad.Anatomic Location.Imaging Focus,Acetabulum,A,RID2564,Acetabulum,,
24535-7,XR Acetabulum,LP199955-8,Rad.Anatomic Location.Laterality,Unspecified,A,RID49843,Unspecified laterality,,
24535-7,XR Acetabulum,LP212285-3,Rad.Modality.Modality type,XR,A,RID10345,projection radiography,,
24535-7,XR Acetabulum,LP199985-5,Rad.Anatomic Location.Region Imaged,Lower extremity,A,RID2638,Lower extremity,,
24535-7,XR Acetabulum,LP199954-1,Rad.Anatomic Location.Laterality.Presence,TRUE,A,RID49844,Laterality present,,
24535-7,XR Acetabulum,LP221404-9,Rad.View.Aggregation,Views,A,RID49567,multiple views,,
24536-5,XR Acromioclavicular Joint,LP221404-9,Rad.View.Aggregation,Views,A,RID49567,multiple views,,
24536-5,XR Acromioclavicular Joint,LP199954-1,Rad.Anatomic Location.Laterality.Presence,TRUE,A,RID49844,Laterality present,,
